;-------------------------------------------------
;0-199 General
;-------------------------------------------------
処女,Virgin
童貞,Male Virgin

崩壊,Broken

臆病,Timid
反抗的,Defiant
気丈,Stubborn
素直,Docile
大人しい,Calm
プライド高い,Prideful
生意気,Cheeky
プライド低い,Humble
ツンデレ,Tsundere

自制心,Self Control
無関心,Apathetic
感情乏しい,Emotionless
好奇心,Curious
保守的,Conservative
楽観的,Cheerful
悲観的,Gloomy
一線越えない,Reserved
目立ちたがり,Show-off

貞操観念,Virtuous
貞操無頓着,Unchaste
抑圧,Repressed
解放,Liberated
抵抗,Reluctant
恥じらい,Shy
恥薄い,Shameless
弱味,Weakness

痛みに弱い,Pain Sensitive
痛みに強い,Pain Resistant
濡れやすい,Easy To Get Wet
濡れにくい,Hard To Get Wet
涙もろい,Crybaby
泣かない,Doesn't Cry
薬物中毒,Drug Addiction
精愛味覚,Loves Taste Of Semen
近視,Shortsighted

習得早い,Fast Learner
習得遅い,Slow Learner
舌使い,Skilled Tongue
調合知識,Mixing Knowledge
薬毒耐性,Drug Resistant
おもらし癖,Peeing Habit

自慰しやすい,Masturbating
汚臭鈍感,Resistant To Smell
汚臭敏感,Smell Sensitive
献身的,Devoted
汚れ無視,Ignores Dirtiness

快感に素直,Shows Pleasure
快感の否定,Hides Pleasure
中毒しやすい,Easily Addicted
即落ち,Submits Easily

自慰狂い,Loves To Masturbate
セックス狂,Sex Maniac
淫乱,Lewd
尻穴狂い,Loves Anal
乳狂い,Breast Maniac

男勝り,Mannish
倒錯的,Perverted
両刀,Bisexual
男嫌い,Man Hater
サド,Sadist
嫉妬,Jealousy
愛,Affection
妄信,Gullible
小悪魔,Little Devil
マゾ,Masochist
露出狂,Exhibitionist

魅惑,Captivating
謎の魅力,Mysterious Charm
威圧感,Intimidating

大柄,Tall
小柄体型,Petite
Ｃ鈍感,C Insensitive
Ｃ敏感,C Sensitive
Ｖ鈍感,V Insensitive
Ｖ敏感,V Sensitive
Ａ鈍感,A Insensitive
Ａ敏感,A Sensitive
Ｂ鈍感,B Insensitive
Ｂ敏感,B Sensitive
貧乳,Small Breasts
巨乳,Big Breasts
回復早い,Fast Recovery
回復遅い,Slow Recovery
魅力,Charming
爆乳,Huge Breasts
肥満,Obese
絶壁,Flat Chest

治療,Treatment
鼓舞,Inspiring
超乳,Massive Breasts
ふたなり,Futanari
オトコ,Male
狂気,Insane
動物耳,Animal Ears
パイパン,Shaved
人気者,Popular
逆襲,Vengeful

母乳体質,Lactating
幼児退行,Infant Regression
幼稚,Childlike
早漏,Premature Ejaculator
心弱い,Tenderhearted
未熟,Immature
牝犬,Bitch
ケモノ,Brute

自慰しない,Doesn't Masturbate
奉仕しない,Doesn't Serve
洗脳されない,Not Brainwashed

妊娠,Pregnant
育児中,Childcare
母性,Maternity
父性,Paternity
人妻,Married
同族妊娠できない,Can't Breed With Same Race

マザコン,Mother Complex
ファザコン,Father Complex
ロリコン,Lolicon
ショタコン,Shotacon

慈愛,Kind
自信家,Confident
気弱,Meek
高貴,Noble
冷徹,Composed
村娘Ａ,Village Girl A
悪女,Vicious
ハート,Heart
スペード,Spade
ダイヤ,Diamond
クラブ,Club
村娘Ｂ,Village Girl B
知的,Smart
庇護者,Mentor
貴公子,Prince

娼婦,Prostitute
傾城,Courtesan
饒舌,Talkative
常連客,Regular Customers
求愛,Courting
歌姫,Diva
舞姫,Danseuse
美姫,Beauty
闘姫,Warrior Princess

V産卵,V-Egg Laying
A産卵,A-Egg Laying
Vワーム,V-Worm
Aワーム,A-Worm

戦士,Warrior
魔術師,Magician
神官,Priest
盗賊,Thief
肉便器,Meat Toilet
騎士,Knight
巫女,Shrine Maiden
忍者,Ninja
弓師,Archer
苗床,Seedbed
魔界将軍,Demon Warlord
魔導神官,Magical Priest
コマンダー,Commander

;-------------------------------------------------
;230- Enhancement
;-------------------------------------------------
淫核,Lewd Clit
淫壷,Lewd Vagina
淫乳,Lewd Breasts
淫肛,Lewd Anus

;-------------------------------------------------
;Battle skills
戦術,Strategy
魔術,Witchcraft
法術,Faith
奇襲,Ambusher
青肌,Blue Skin
悪魔翼,Demonic Wings
悪魔尻尾,Demonic Tail
悪魔眼,Demonic Eyes
筋肉質,Muscular
鉄壁,Impregnable
呪術,Sorcery
忍術,Ninjutsu
先制,Preemptive Attack
褐色肌,Brown Skin
魔の刻印,Magical Brand
白皙,White Skin
虚弱,Feeble
魔法耐性,Magic Resistance
俊足,Speedster
隻眼,One Eye
額の眼,Forehead Eye
スライム,Slime
触手,Tentacle
小人体型,Small Body
角,Horn

;-------------------------------------------------
;270- Special
;-------------------------------------------------
常時発情,Always Horny
性豪,Sexual Prodigy
処女封印,Virgin Seal
魂縛,Soul Binding
火の能力者,Fire Ability
氷の能力者,Ice Ability
雷の能力者,Lightning Ability
光の能力者,Light Ability
